k_min,k_max,P(k),P(k)_error
0.015639,0.015869,56979.718978,5376.448642
0.025431,0.025649,47650.189655,2965.123943
0.03532,0.035478,38161.416435,1783.174136
0.045308,0.045394,29555.879269,1092.483409
0.055215,0.055326,26854.638927,786.318638
0.065185,0.065257,23725.010389,607.023064
0.075156,0.075229,20645.247461,453.517365
0.085167,0.085205,18536.15686,356.920159
0.095126,0.095182,14937.304121,284.158407
0.105126,0.105169,13317.796493,217.723219
0.115105,0.115153,11843.354169,187.251702
0.125089,0.125131,11179.584459,168.296168
0.135098,0.135117,10090.841845,139.161058
0.145098,0.145125,9137.536835,121.66758
