ell	D_ell_TT
2.0	225.895
3.0	936.92
4.0	692.238
5.0	1501.705
6.0	557.611
7.0	1152.643
8.0	615.846
9.0	697.821
10.0	803.658
11.0	869.58
12.0	764.074
13.0	599.003
14.0	808.139
15.0	1022.111
16.0	621.292
17.0	1035.378
18.0	674.593
19.0	951.642
20.0	659.863
21.0	601.924
22.0	605.295
23.0	748.519
24.0	850.496
25.0	814.268
26.0	823.803
27.0	1004.022
28.0	1149.889
29.0	979.567
30.0	1102.80565
31.0	764.235896
32.0	1543.85108
33.0	1077.26738
34.0	979.159409
35.0	739.911555
36.0	1122.51626
37.0	1523.72049
38.0	1285.91266
39.0	1243.83149
40.0	1715.07099
41.0	1427.08779
42.0	1391.08758
43.0	1235.15157
44.0	1399.71962
45.0	1050.22476
46.0	1148.97828
47.0	1939.3329
48.0	984.32799
49.0	1720.0661
50.0	1707.30702
51.0	1039.42852
52.0	1603.6105
53.0	1118.55429
54.0	1173.86271
55.0	1609.06096
56.0	1523.29448
57.0	1715.71938
58.0	1742.61858
59.0	1467.14325
60.0	1790.4516
61.0	1359.15415
62.0	2165.2271
63.0	1742.10583
64.0	1242.4852
65.0	1853.0615
66.0	1626.61637
67.0	1659.98919
68.0	1766.42864
69.0	2277.66406
70.0	1860.80088
71.0	1783.70715
72.0	1511.90025
73.0	2701.12709
74.0	2013.69273
75.0	1879.90931
76.0	1875.45523
77.0	1919.45593
78.0	1664.60733
79.0	1496.46853
80.0	2318.10662
81.0	2045.53573
82.0	2821.4292
83.0	2135.83446
84.0	1542.66778
85.0	2268.6746
86.0	2525.92485
87.0	2180.32949
88.0	1774.61013
89.0	2930.03972
90.0	2255.50107
91.0	2414.51603
92.0	2582.01377
93.0	2814.58993
94.0	2153.76783
95.0	2158.69964
96.0	2367.99928
97.0	2663.32976
98.0	2222.54729
99.0	3013.83617
100.0	2919.08745
101.0	2782.38348
102.0	2896.76227
103.0	2626.14993
104.0	3029.25427
105.0	2267.54847
106.0	2792.25466
107.0	3323.76585
108.0	3927.24232
109.0	3033.82038
110.0	3429.38387
111.0	2910.10496
112.0	3039.35904
113.0	2337.90275
114.0	2209.15272
115.0	3343.44611
116.0	4337.15308
117.0	4457.74454
118.0	3457.02104
119.0	3135.9129
120.0	2669.67726
121.0	4125.21641
122.0	3450.49755
123.0	4116.21935
124.0	2948.81885
125.0	3271.639
126.0	3324.06505
127.0	3716.67835
128.0	3804.63957
129.0	2897.9602
130.0	4032.31034
131.0	3245.23913
132.0	2891.49353
133.0	3885.60051
134.0	3560.18902
135.0	4312.22189
136.0	4669.22603
137.0	4062.89976
138.0	3946.39273
139.0	4219.05142
140.0	3815.06138
141.0	4204.90825
142.0	4515.26536
143.0	4754.61564
144.0	3902.32418
145.0	4271.07492
146.0	4241.71328
147.0	4697.06435
148.0	3741.89378
149.0	3383.04414
150.0	4547.83776
151.0	4223.68455
152.0	4566.11761
153.0	4566.77496
154.0	3939.42599
155.0	5325.15156
156.0	4314.59342
157.0	4626.32873
158.0	5524.17122
159.0	4670.96912
160.0	5308.57073
161.0	4692.45703
162.0	4615.96839
163.0	4339.31266
164.0	4708.25249
165.0	4778.19802
166.0	5364.62263
167.0	5616.59426
168.0	5502.45544
169.0	4514.09669
170.0	4220.91923
171.0	4604.65923
172.0	5206.59664
173.0	5136.67061
174.0	4894.27361
175.0	5076.1802
176.0	5069.03673
177.0	4661.52742
178.0	4525.06263
179.0	6345.69516
180.0	5197.70944
181.0	3909.81996
182.0	4351.46614
183.0	4643.01895
184.0	5545.49866
185.0	6396.22412
186.0	5769.26048
187.0	5157.53951
188.0	6336.46067
189.0	6286.04526
190.0	5955.38562
191.0	5394.03967
192.0	6344.73772
193.0	5896.6494
194.0	5505.00632
195.0	4030.55156
196.0	5565.00753
197.0	5594.38968
198.0	5633.5474
199.0	5311.56809
200.0	5238.38076
201.0	4881.84835
202.0	6138.44518
203.0	5670.94312
204.0	5331.8768
205.0	6151.69986
206.0	5334.49284
207.0	5044.16844
208.0	5719.21608
209.0	4626.96958
210.0	5424.5295
211.0	5517.08988
212.0	5880.24579
213.0	5881.85406
214.0	5256.76876
215.0	6647.2958
216.0	5806.27699
217.0	5602.93537
218.0	6273.61975
219.0	5675.14634
220.0	6373.42096
221.0	5887.18514
222.0	5767.12669
223.0	5559.31808
224.0	6111.00352
225.0	5114.46349
226.0	5939.99591
227.0	6153.2805
228.0	4740.09279
229.0	5350.55601
230.0	5652.12921
231.0	5768.51432
232.0	6651.84383
233.0	6413.82301
234.0	4514.86726
235.0	6009.30018
236.0	6089.28179
237.0	5555.74256
238.0	5937.97206
239.0	5480.44035
240.0	6068.25199
241.0	5835.71997
242.0	5414.1555
243.0	5696.73876
244.0	5188.59656
245.0	5844.81918
246.0	5748.01553
247.0	5625.47522
248.0	6016.08565
249.0	4457.66955
250.0	5089.0009
251.0	5269.95317
252.0	5717.75582
253.0	4865.30546
254.0	4412.53015
255.0	5519.92593
256.0	6086.25812
257.0	5269.32855
258.0	5424.15464
259.0	4562.46907
260.0	5696.69305
261.0	5223.34736
262.0	5518.67427
263.0	6107.40606
264.0	4829.2842
265.0	4149.71953
266.0	5580.42492
267.0	5070.75541
268.0	5557.24723
269.0	4786.1833
270.0	4254.95805
271.0	5563.25253
272.0	5846.05478
273.0	4865.25037
274.0	5336.64475
275.0	4635.3016
276.0	3997.33187
277.0	5572.53122
278.0	4981.93632
279.0	5092.25684
280.0	4343.63711
281.0	4699.9279
282.0	5000.44551
283.0	5500.61764
284.0	4444.54429
285.0	3732.57584
286.0	4604.39113
287.0	4445.65095
288.0	4175.64857
289.0	4940.82028
290.0	4571.90745
291.0	3520.57695
292.0	4685.13605
293.0	4497.25303
294.0	4109.20669
295.0	4491.17517
296.0	4716.76644
297.0	3808.92183
298.0	4040.43838
299.0	3972.4318
300.0	4548.37242
301.0	3860.90373
302.0	4057.36235
303.0	3231.77184
304.0	3903.71114
305.0	4207.52406
306.0	3617.65988
307.0	3458.40002
308.0	4200.89864
309.0	3843.54001
310.0	3630.76979
311.0	3821.22782
312.0	3467.93652
313.0	3686.50999
314.0	3052.8968
315.0	3733.19489
316.0	3967.5453
317.0	3046.88024
318.0	3140.04526
319.0	3712.61812
320.0	3707.05897
321.0	3089.8386
322.0	3664.72037
323.0	3293.24602
324.0	3120.10628
325.0	3368.5046
326.0	3681.3036
327.0	2951.13658
328.0	3406.40543
329.0	3410.88839
330.0	2998.25385
331.0	3121.22557
332.0	2958.80104
333.0	2712.53191
334.0	2787.07666
335.0	2787.27007
336.0	3050.98763
337.0	2762.00082
338.0	2952.13007
339.0	2726.86299
340.0	2839.96536
341.0	2807.38159
342.0	2871.11187
343.0	2485.55261
344.0	2631.73162
345.0	2361.34905
346.0	2518.25614
347.0	2346.8393
348.0	2467.30326
349.0	2407.92156
350.0	2408.15751
351.0	2851.61008
352.0	2362.27377
353.0	2789.42702
354.0	2664.29783
355.0	2319.66339
356.0	2094.74693
357.0	2353.40879
358.0	2279.89392
359.0	2069.29854
360.0	2320.21104
361.0	2450.16594
362.0	2227.72597
363.0	2152.10341
364.0	2708.00174
365.0	1951.02224
366.0	1838.46291
367.0	2120.48085
368.0	2010.82559
369.0	2232.04619
370.0	1977.26432
371.0	2222.59429
372.0	1969.11982
373.0	2134.85635
374.0	1976.26405
375.0	2120.62383
376.0	1992.39641
377.0	1782.39655
378.0	2197.81218
379.0	2462.9846
380.0	1777.62617
381.0	1884.33569
382.0	1603.6457
383.0	1980.29009
384.0	2011.43962
385.0	1610.90204
386.0	1703.90106
387.0	2002.2338
388.0	1801.98757
389.0	1670.79125
390.0	1907.23652
391.0	1718.82609
392.0	1944.65279
393.0	1761.75274
394.0	1892.11225
395.0	1674.00847
396.0	1739.88345
397.0	1778.42023
398.0	1662.82057
399.0	1856.24137
400.0	1754.08525
401.0	1802.00671
402.0	1904.18979
403.0	1519.44533
404.0	1590.23034
405.0	1742.72434
406.0	1867.0121
407.0	1805.36658
408.0	1739.87721
409.0	1694.95335
410.0	1748.53818
411.0	1663.59602
412.0	1629.65474
413.0	1800.00838
414.0	1710.92069
415.0	1986.7619
416.0	1723.82646
417.0	1395.98055
418.0	1706.79798
419.0	1807.00199
420.0	1837.69535
421.0	1643.41834
422.0	1653.45921
423.0	1825.49943
424.0	1804.77922
425.0	1504.91122
426.0	1625.46747
427.0	1746.91713
428.0	1799.98113
429.0	1954.89738
430.0	1895.97863
431.0	1663.23616
432.0	1955.19985
433.0	1634.77322
434.0	1945.85701
435.0	1847.65368
436.0	1547.12429
437.0	2052.06045
438.0	1851.90897
439.0	1501.34185
440.0	1728.39556
441.0	1837.67895
442.0	2044.07853
443.0	1905.0023
444.0	1856.37228
445.0	1778.83796
446.0	1718.19501
447.0	1725.59916
448.0	1786.90826
449.0	1890.54757
450.0	2018.83818
451.0	1832.1752
452.0	2172.13333
453.0	1907.83843
454.0	2014.06322
455.0	2137.52748
456.0	2252.15619
457.0	1971.13425
458.0	1981.33466
459.0	2165.17854
460.0	1950.6501
461.0	2189.50698
462.0	2318.24673
463.0	2213.08584
464.0	2119.79075
465.0	2485.22148
466.0	2166.68088
467.0	2252.11637
468.0	2333.57272
469.0	2134.24335
470.0	1989.63982
471.0	2336.0153
472.0	2138.94415
473.0	2251.54248
474.0	2018.42969
475.0	2196.05977
476.0	2300.20427
477.0	2277.47892
478.0	2191.27703
479.0	2478.98308
480.0	2317.15559
481.0	2440.51436
482.0	2178.71972
483.0	2553.0887
484.0	2200.8101
485.0	2073.56102
486.0	2500.10525
487.0	2244.99268
488.0	2453.66038
489.0	2054.4525
490.0	2445.81367
491.0	2463.98399
492.0	2516.23008
493.0	2648.63015
494.0	2646.52182
495.0	2306.33181
496.0	2071.12413
497.0	2221.23351
498.0	2388.25361
499.0	2533.14516
500.0	2557.85865
501.0	2666.71298
502.0	2434.79317
503.0	2390.78296
504.0	2763.49888
505.0	2655.33993
506.0	2389.75227
507.0	2472.95862
508.0	2433.72
509.0	2572.22948
510.0	2740.82127
511.0	2456.33268
512.0	2853.08318
513.0	2666.71034
514.0	2349.22449
515.0	2605.65369
516.0	2554.32819
517.0	2574.71552
518.0	2576.27467
519.0	2584.82327
520.0	2520.98506
521.0	2419.48143
522.0	2868.79796
523.0	2758.37588
524.0	2552.7503
525.0	2535.44087
526.0	2350.2049
527.0	2476.35068
528.0	2673.14032
529.0	2800.46811
530.0	2356.12337
531.0	2717.46272
532.0	2447.58647
533.0	2467.41196
534.0	2508.90328
535.0	2698.83039
536.0	2417.15185
537.0	2347.58039
538.0	2693.21519
539.0	2569.30096
540.0	2586.44648
541.0	2426.03373
542.0	2398.01782
543.0	2385.10961
544.0	2633.67108
545.0	2580.64656
546.0	2598.71301
547.0	2542.40932
548.0	2701.85576
549.0	2429.2499
550.0	2264.65271
551.0	2472.33249
552.0	2593.78713
553.0	2473.3913
554.0	2838.62729
555.0	2593.97662
556.0	2676.09449
557.0	2507.52151
558.0	2700.60787
559.0	2460.45417
560.0	2317.0999
561.0	2691.56459
562.0	2606.94894
563.0	2572.85211
564.0	2422.38453
565.0	2436.18189
566.0	2556.98461
567.0	2853.79922
568.0	2445.45798
569.0	2566.37471
570.0	2230.47105
571.0	2367.10594
572.0	2429.43455
573.0	2348.64976
574.0	2508.79943
575.0	2380.29924
576.0	2433.78983
577.0	2689.98534
578.0	2437.70104
579.0	2371.54257
580.0	2514.74174
581.0	2608.8869
582.0	2158.23169
583.0	2361.75221
584.0	2269.44813
585.0	2291.3188
586.0	2413.34501
587.0	2605.03864
588.0	2540.45136
589.0	2441.71623
590.0	2335.66938
591.0	2197.72748
592.0	2370.76814
593.0	2287.43194
594.0	2174.24211
595.0	2212.07197
596.0	2157.9157
597.0	2190.88629
598.0	2241.549
599.0	2201.91874
600.0	2230.11497
601.0	2442.5405
602.0	2230.98177
603.0	1968.25386
604.0	1954.13114
605.0	2146.30475
606.0	2318.06816
607.0	2280.88042
608.0	2235.56862
609.0	1929.40518
610.0	2196.77139
611.0	2080.70595
612.0	1960.16702
613.0	2220.7834
614.0	2271.19336
615.0	2421.08665
616.0	1941.84482
617.0	2124.29066
618.0	2012.58569
619.0	1881.17947
620.0	2196.18831
621.0	2175.71588
622.0	1866.86783
623.0	1862.66768
624.0	2047.8416
625.0	2052.90242
626.0	1907.02439
627.0	1996.86119
628.0	2028.69287
629.0	1844.10636
630.0	1972.2257
631.0	2030.29936
632.0	1854.09755
633.0	1784.65299
634.0	2109.45665
635.0	2020.0546
636.0	1722.77081
637.0	1964.28067
638.0	2028.86493
639.0	1933.40252
640.0	1922.82945
641.0	2066.79707
642.0	1907.64775
643.0	2017.41507
644.0	1646.91552
645.0	1660.76899
646.0	1813.22136
647.0	1815.5338
648.0	1906.433
649.0	1980.70532
650.0	1995.84837
651.0	1771.1505
652.0	1876.16826
653.0	1783.64457
654.0	1741.77332
655.0	1930.9389
656.0	1796.60944
657.0	1763.28484
658.0	1761.20262
659.0	1930.79245
660.0	1774.90572
661.0	1766.24984
662.0	1901.18763
663.0	2094.70467
664.0	1905.31888
665.0	1745.11547
666.0	1760.99191
667.0	1816.90155
668.0	1795.76698
669.0	1729.13239
670.0	1753.30384
671.0	1817.5706
672.0	1797.77122
673.0	1889.47945
674.0	1873.8861
675.0	1883.92544
676.0	1746.3044
677.0	1826.00277
678.0	1904.97653
679.0	1743.39732
680.0	1697.19065
681.0	1645.99892
682.0	1851.86947
683.0	1677.52463
684.0	1775.17319
685.0	1929.25002
686.0	1645.14282
687.0	1855.11076
688.0	1911.43259
689.0	1852.48632
690.0	1932.13803
691.0	1686.60373
692.0	1695.18901
693.0	1918.38426
694.0	1900.33218
695.0	1780.44303
696.0	2010.32021
697.0	1978.6511
698.0	1884.55715
699.0	1730.00993
700.0	1835.87426
701.0	1867.00295
702.0	1984.70412
703.0	1976.50572
704.0	1976.81227
705.0	1801.55002
706.0	1810.2166
707.0	1813.6806
708.0	1942.8154
709.0	1869.14561
710.0	1870.06777
711.0	1980.36307
712.0	1901.29306
713.0	1920.5018
714.0	1876.40958
715.0	1681.52156
716.0	2001.09452
717.0	2001.71579
718.0	1806.58227
719.0	2035.80067
720.0	1958.32914
721.0	1810.33962
722.0	1941.97584
723.0	2205.26033
724.0	2072.59272
725.0	2066.58343
726.0	1975.08134
727.0	1977.91685
728.0	1992.07342
729.0	1928.71313
730.0	1735.32064
731.0	2038.45105
732.0	2112.84182
733.0	2035.27829
734.0	2220.85712
735.0	1946.14531
736.0	2179.63967
737.0	2157.57531
738.0	2045.01123
739.0	1983.19589
740.0	1967.35965
741.0	2242.43535
742.0	2360.2319
743.0	2130.30703
744.0	2164.02228
745.0	2249.89676
746.0	2223.76666
747.0	2360.53936
748.0	2410.19547
749.0	2395.82539
750.0	2223.7478
751.0	2309.99437
752.0	2029.03146
753.0	2267.48892
754.0	2256.32752
755.0	2177.40383
756.0	2304.69601
757.0	2517.91808
758.0	2265.37361
759.0	2275.05951
760.0	2277.02097
761.0	2478.61467
762.0	2289.14207
763.0	2296.64563
764.0	2419.03176
765.0	2279.49845
766.0	2283.95078
767.0	2309.93535
768.0	2258.76301
769.0	2528.92546
770.0	2272.15973
771.0	2505.39638
772.0	2299.77431
773.0	2326.02526
774.0	2358.15354
775.0	2351.96953
776.0	2324.80814
777.0	2475.56801
778.0	2262.73496
779.0	2310.2152
780.0	2414.32605
781.0	2276.36741
782.0	2506.82979
783.0	2266.34791
784.0	2306.9583
785.0	2750.03218
786.0	2586.41603
787.0	2489.16278
788.0	2506.98103
789.0	2416.48582
790.0	2357.90901
791.0	2611.53407
792.0	2322.28555
793.0	2445.8747
794.0	2430.61442
795.0	2453.84382
796.0	2483.65155
797.0	2510.91372
798.0	2538.53177
799.0	2566.30495
800.0	2529.00418
801.0	2266.28011
802.0	2485.5942
803.0	2583.05344
804.0	2388.08246
805.0	2440.10757
806.0	2433.77534
807.0	2576.9292
808.0	2520.27833
809.0	2446.6831
